1952,Best Picture,The Quiet Man,"John Ford and Merian C. Cooper, Producers",0
1952,Best Picture,The Greatest Show on Earth,"Cecil B. DeMille, Producer",1
1953,Best Picture,Shane,"George Stevens, Producer",0
1953,Best Picture,The Robe,"Frank Ross, Producer",0
1953,Best Picture,Julius Caesar,"John Houseman, Producer",0
1953,Best Picture,Roman Holiday,"William Wyler, Producer",0
1953,Best Picture,From Here to Eternity,"Buddy Adler, Producer",1
1954,Best Picture,The Country Girl,"William Perlberg, Producer",0
1954,Best Picture,Seven Brides for Seven Brothers,"Jack Cummings, Producer",0
1954,Best Picture,On the Waterfront,"Sam Spiegel, Producer",1
1954,Best Picture,Three Coins in the Fountain,"Sol C. Siegel, Producer",0
1954,Best Picture,The Caine Mutiny,"Stanley Kramer, Producer",0
1955,Best Picture,Love Is a Many-Splendored Thing,"Buddy Adler, Producer",0
1955,Best Picture,Picnic,"Fred Kohlmar, Producer",0
1955,Best Picture,The Rose Tattoo,"Hal B. Wallis, Producer",0
1955,Best Picture,Mister Roberts,"Leland Hayward, Producer",0
1955,Best Picture,Marty,"Harold Hecht, Producer",1
1956,Best Picture,The King and I,"Charles Brackett, Producer",0
1956,Best Picture,The Ten Commandments,"Cecil B. DeMille, Producer",0
1956,Best Picture,Around the World in 80 Days,"Michael Todd, Producer",1
1956,Best Picture,Giant,"George Stevens and Henry Ginsberg, Producers",0
1956,Best Picture,Friendly Persuasion,"William Wyler, Producer",0
1957,Best Picture,The Bridge on the River Kwai,"Sam Spiegel, Producer",1
1957,Best Picture,Witness for the Prosecution,"Arthur Hornblow Jr., Producer",0
1957,Best Picture,Sayonara,"William Goetz, Producer",0
1957,Best Picture,12 Angry Men,"Henry Fonda and Reginald Rose, Producers",0
1957,Best Picture,Peyton Place,"Jerry Wald, Producer",0
1958,Best Picture,The Defiant Ones,"Stanley Kramer, Producer",0
1958,Best Picture,Gigi,"Arthur Freed, Producer",1
1958,Best Picture,Auntie Mame,Warner Bros.,0
1958,Best Picture,Cat on a Hot Tin Roof,"Lawrence Weingarten, Producer",0
1958,Best Picture,Separate Tables,"Harold Hecht, Producer",0
1959,Best Picture,Room at the Top,"John Woolf and James Woolf, Producers",0
1959,Best Picture,The Diary of Anne Frank,"George Stevens, Producer",0
1959,Best Picture,Ben-Hur,"Sam Zimbalist, Producer",1
1959,Best Picture,The Nun's Story,"Henry Blanke, Producer",0
1959,Best Picture,Anatomy of a Murder,"Otto Preminger, Producer",0
1960,Best Picture,The Sundowners,"Fred Zinnemann, Producer",0
1960,Best Picture,The Apartment,"Billy Wilder, Producer",1
1960,Best Picture,The Alamo,"John Wayne, Producer",0
1960,Best Picture,Elmer Gantry,"Bernard Smith, Producer",0
1960,Best Picture,Sons and Lovers,"Jerry Wald, Producer",0
1961,Best Picture,Fanny,"Joshua Logan, Producer",0
1961,Best Picture,Judgment at Nuremberg,"Stanley Kramer, Producer",0
1961,Best Picture,The Hustler,"Robert Rossen, Producer",0
1961,Best Picture,The Guns of Navarone,"Carl Foreman, Producer",0
1961,Best Picture,West Side Story,"Robert Wise, Producer",1
1962,Best Picture,To Kill a Mockingbird,"Alan J. Pakula, Producer",0
1962,Best Picture,The Longest Day,"Darryl F. Zanuck, Producer",0
1962,Best Picture,Lawrence of Arabia,"Sam Spiegel, Producer",1
1962,Best Picture,The Music Man,"Morton Da Costa, Producer",0
1962,Best Picture,Mutiny on the Bounty,"Aaron Rosenberg, Producer",0
1963,Best Picture,How the West Was Won,"Bernard Smith, Producer",0
1963,Best Picture,America America,"Elia Kazan, Producer",0
1963,Best Picture,Lilies of the Field,"Ralph Nelson, Producer",0
1963,Best Picture,Cleopatra,"Walter Wanger, Producer",0
1963,Best Picture,Tom Jones,"Tony Richardson, Producer",1
1964,Best Picture,My Fair Lady,"Jack L. Warner, Producer",1
1964,Best Picture,Becket,"Hal B. Wallis, Producer",0
1964,Best Picture,Mary Poppins,"Walt Disney and Bill Walsh, Producers",0
1964,Best Picture,Zorba the Greek,"Michael Cacoyannis, Producer",0
1964,Best Picture,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick, Producer",0
1965,Best Picture,Darling,"Joseph Janni, Producer",0
1965,Best Picture,The Sound of Music,"Robert Wise, Producer",1
1965,Best Picture,Doctor Zhivago,"Carlo Ponti, Producer",0
1965,Best Picture,A Thousand Clowns,"Fred Coe, Producer",0
1965,Best Picture,Ship of Fools,"Stanley Kramer, Producer",0
