2005,"Walk the Line",9
2005,"Match Point",10
2006,"The Departed",1
2006,"United 93",2
2006,"Letters From Iwo Jima",3
2006,"The Devil and Daniel Johnston",4
2006,"The Queen",5
2006,"Little Miss Sunshine",6
2006,"The Prestige",7
2006,"Cars",8
2006,"Bubble",9
2006,"The Devil Wears Prada",10
2006,"Blood Diamond",11
2006,"Monster House",12
2006,"Pan's Labyrinth",13
2006,"The Fountain",14
2006,"Sketches of Frank Gehry",15
2007,"No Country For Old Men",1
2007,"There Will Be Blood",2
2007,"3:10 to Yuma",3
2007,"Lars and the Real Girl",4
2007,"Michael Clayton",5
2007,"Sweeney Todd: The Demon Barber of Fleet Street",6
2007,"Gone Baby Gone",7
2007,"Zodiac",8
2007,"The Mist",9
2007,"The Counterfeiters",10
2007,"The Kite Runner",11
2007,"Rescue Dawn",12
2007,"Atonement",13
2007,"Cassandra's Dream",14
2007,"The Assassination of Jesse James by the Coward Robert Ford",15
2008,"The Dark Knight",1
2008,"WALL-E",2
2008,"Doubt",3
2008,"Frost/Nixon",4
2008,"Chop Shop",5
2008,"The Curious Case of Benjamin Button",6
2008,"Gran Torino",7
2008,"Iron Man",8
2008,"Man on Wire|Encounters at the End of the World",9
2008,"Slumdog Millionaire",10
2008,"Chicago 10",11
2008,"Body of Lies",12
2008,"I.O.U.S.A.",13
2008,"Trouble the Water",14
2008,"Frozen River",15
2009,"Moon",1
2009,"The Hurt Locker",2
2009,"Fantastic Mr. Fox",3
2009,"Where the Wild Things Are",4
2009,"Up",5
2009,"Ponyo",6
2009,"Inglourious Basterds",7
2009,"The Informant!",8
2009,"The September Issue",9
2009,"Up in the Air",10
2009,"The Cove",11
2009,"A Christmas Carol",12
2009,"Goodbye Solo",13
2009,"Avatar",14
2009,"The Road",15
2010,"Shutter Island",1
2010,"The King's Speech",2
2010,"Exit Through the Gift Shop",3
2010,"Inception",4
2010,"Restrepo",5
2010,"Catfish",6
2010,"The Social Network",7
2010,"The Tillman Story",8
2010,"The Ghost Writer",9
2010,"The Fighter",10
2010,"Inside Job",11
2010,"Last Train Home",12
2010,"Waiting for Superman",13
2010,"True Grit",14
2010,"127 Hours",15
2011,"The Artist",1
2011,"The Tree of Life",2
2011,"Moneyball",3
2011,"A Separation",4
2011,"The Adventures of Tintin",5
2011,"Paradise Lost 3: Purgatory",6
2011,"Midnight in Paris",7
2011,"The Descendants",9
2011,"Take Shelter",8
2011,"Margin Call",10
2011,"Undefeated",11
2011,"Tinker Tailor Soldier Spy",12
2011,"Hugo",13
2011,"Rango",14
2011,"Bill Cunningham: New York",15
2012,"Samsara",1
2012,"Life of Pi",2
2012,"Django Unchained",3
2012,"Les Miserables",4
2012,"Cloud Atlas",5
2012,"Silver Linings Playbook",6
2012,"Anna Karenina",7
2012,"Moonrise Kingdom",9
2012,"Searching for Sugar Man",8
2012,"The Dark Knight Rises",10
2013,"The Place Beyond the Pines",1
2013,"West of Memphis",2
2013,"August: Osage County",3
2013,"American Hustle",4
2013,"Mud",5
2013,"12 Years a Slave",6
2013,"Prisoners",7
2013,"Captain Phillips",8
2013,"Nebraska",9
2013,"Philomena",10
2014,"Selma",1
2014,"Whiplash",2
2014,"Boyhood",3
2014,"Grand Budapest Hotel",4
2014,"Interstellar",5
2014,"Foxcatcher",6
2014,"Gone Girl",7
2014,"A Most Violent Year",8
2014,"American Sniper",9
2014,"Nightcrawler",10
2015,"Inside Out",1
2015,"The Revenant",2
2015,"Spotlight",3
2015,"The Big Short",4
2015,"Steve Jobs",5
2015,"Room",6
2015,"The Look of Silence",7
2015,"Sicario",8
2015,"99 Homes",9
2015,"The End of the Tour",10
