2003,Best Original Screenplay,All the Real Girls,David Gordon Green,0,
2003,Best Original Screenplay,Elephant,Gus Van Sant,0,
2003,Best Original Screenplay,Northfork,Michael and Mark Polish,0,
2003,Best Original Screenplay,School of Rock,Mike White,1,
2003,Best Original Screenplay,The Station Agent,Thomas McCarthy,0,
2003,Best Original Screenplay,The Triplets of Belleville,Sylvain Chomet,0,
2003,Best Adapted Screenplay,American Splendor,Shari Springer Bergman|Robert Pulcini,0,
2003,Best Adapted Screenplay,The Lord of the Rings: The Return of the King,Fran Walsh|Phillipa Boyens|Peter Jackson,0,
2003,Best Adapted Screenplay,Master and Commander: The Far Side of the World,Peter Weir|John Collee,0,
2003,Best Adapted Screenplay,* Mystic River,Brian Helgeland,1,
2003,Best Adapted Screenplay,The Secret Lives of Dentists,Craig Lucas,0,
2003,Best Documentary,Capturing the Freidmans,,1,
2003,Best Documentary,The Fog of War,,0,
2003,Best Documentary,Spellbound,,0,
2003,Best Documentary,Winged Migration,,0,
2003,Worst Picture,Dreamcatcher,,1,
2003,Worst Picture,Elf,,0,
2003,Worst Picture,Gigli,,0,
2003,Worst Picture,Hulk,,0,
2003,Worst Picture,The Human Stain,,0,
2003,Worst Picture,Old School,,0,
2003,Best Scene,The Lord of the Rings: The Return of the King,,0,The Mouth of Sauron
2003,Best Scene,The Lord of the Rings: The Return of the King,,0,Faromir Sent to Defend Osgiliath
2003,Best Scene,School of Rock,,0,The Legend of the Rent
2003,Best Scene,School of Rock,,0,The First Day of School
2003,Best Scene,Mystic River,,0,Is That My Duaghter in There?
2003,Best Scene,Mystic River,,0,Jimmy and Dave by the Mystic
2003,Best Scene,American Splendor,,0,The Revenge of the Nerds
2003,Best Scene,American Splendor,,0,Paul and Judah to Harvey and Toby
2003,Best Scene,American Splendor,,0,In Line at the Grocery Store
2003,Best Scene,Finding Nemo,,0,Riding the Eastern Australian Current
2003,Best Scene,Finding Nemo,,0,Fish are Friends
2003,Best Scene,21 Grams,,0,This is Hell
2003,Best Scene,Monster,,0,Aileen's Last John
2003,Best Scene,Anger Management,,0,I Am Calm
2003,Best Scene,Evil Alien Conquerors,,0,Belly Twister
2003,Best Scene,The Matrix Reloaded,,1,The Architect
2004,Top Ten,The Passion of the Christ,,1,
2004,Top Ten,The Aviator,,2,
2004,Top Ten,Napoleon Dynamite,,3,
2004,Top Ten,Hotel Rwanda,,4,
2004,Top Ten,Touching the Void,,5,
2004,Top Ten,Eternal Sunshine of the Spotless Mind,,6,
2004,Top Ten,The Village,,7,
2004,Top Ten,I Heart Huckabees,,8,
2004,Top Ten,Vera Drake,,9,
2004,Top Ten,The Assassination of Richard Nixon,,10,
2004,Top Ten,The Incredibles,,11,
2004,Top Ten,Harry Potter and the Prisoner of Azkaban,,12,
2004,Top Ten,Kill Bill Vol. 2,,13,
2004,Top Ten,Spartan,,14,
2004,Top Ten,I'm Not Scared,,15,
2004,Best Picture,The Aviator,,0,
2004,Best Picture,Hotel Rwanda,,0,
2004,Best Picture,The Passion of the Christ,,1,
2004,Best Picture,Napoleon Dynamite,,0,
2004,Best Picture,Touching the Void,,0,
2004,Best Actor,The Machinist,Christian Bale,0,
