Year,Category,Nominee,Additional Info,Won?
1969,ACTRESS IN A SUPPORTING ROLE,Susannah York,"They Shoot Horses, Don't They? {Alice""}""",NO
1969,ART DIRECTION,"They Shoot Horses, Don't They?",Art Direction: Harry Horner; Set Decoration: Frank McKelvy,NO
1969,ART DIRECTION,"Hello, Dolly!","Art Direction: John DeCuir, Jack Martin Smith, Herman Blumenthal; Set Decoration: Walter M. Scott, George Hopkins, Raphael Bretton",YES
1969,ART DIRECTION,Anne of the Thousand Days,"Art Direction: Maurice Carter, Lionel Couch; Set Decoration: Patrick McLoughlin",NO
1969,ART DIRECTION,Sweet Charity,"Art Direction: Alexander Golitzen, George C. Webb; Set Decoration: Jack D. Moore",NO
1969,ART DIRECTION,"Gaily, Gaily","Art Direction: Robert Boyle, George B. Chan; Set Decoration: Edward Boyle, Carl Biddiscombe",NO
1969,BEST PICTURE,Midnight Cowboy,"Jerome Hellman, Producer",YES
1969,BEST PICTURE,Anne of the Thousand Days,"Hal B. Wallis, Producer",NO
1969,BEST PICTURE,Butch Cassidy and the Sundance Kid,"John Foreman, Producer",NO
1969,BEST PICTURE,Z,"Jacques Perrin and Hamed Rachedi, Producers",NO
1969,BEST PICTURE,"Hello, Dolly!","Ernest Lehman, Producer",NO
1969,CINEMATOGRAPHY,Marooned,Daniel Fapp,NO
1969,CINEMATOGRAPHY,"Hello, Dolly!",Harry Stradling,NO
1969,CINEMATOGRAPHY,Anne of the Thousand Days,Arthur Ibbetson,NO
1969,CINEMATOGRAPHY,Butch Cassidy and the Sundance Kid,Conrad Hall,YES
1969,CINEMATOGRAPHY,Bob &amp; Carol &amp; Ted &amp; Alice,Charles B. Lang,NO
1969,COSTUME DESIGN,"They Shoot Horses, Don't They?",Donfeld,NO
1969,COSTUME DESIGN,Sweet Charity,Edith Head,NO
1969,COSTUME DESIGN,Anne of the Thousand Days,Margaret Furse,YES
1969,COSTUME DESIGN,"Hello, Dolly!",Irene Sharaff,NO
1969,COSTUME DESIGN,"Gaily, Gaily",Ray Aghayan,NO
1969,DIRECTING,Alice's Restaurant,Arthur Penn,NO
1969,DIRECTING,Midnight Cowboy,John Schlesinger,YES
1969,DIRECTING,Butch Cassidy and the Sundance Kid,George Roy Hill,NO
1969,DIRECTING,Z,Costa-Gavras,NO
1969,DIRECTING,"They Shoot Horses, Don't They?",Sydney Pollack,NO
1969,DOCUMENTARY (Feature),Arthur Rubinstein - The Love of Life,"Bernard Chevry, Producer",YES
1969,DOCUMENTARY (Feature),The Olympics in Mexico,Comite Organizador de los Juegos de la XIX Olimpiada,NO
1969,DOCUMENTARY (Feature),Before the Mountain Was Moved,"Robert K. Sharpe, Producer",NO
1969,DOCUMENTARY (Feature),The Wolf Men,"Irwin Rosten, Producer",NO
1969,DOCUMENTARY (Feature),In the Year of the Pig,"Emile de Antonio, Producer",NO
1969,DOCUMENTARY (Short Subject),An Impression of John Steinbeck: Writer,"Donald Wrye, Producer",NO
1969,DOCUMENTARY (Short Subject),Leo Beuerman,"Arthur H. Wolf and Russell A. Mosser, Producers",NO
1969,DOCUMENTARY (Short Subject),The Magic Machines,"Joan Keller Stern, Producer",NO
1969,DOCUMENTARY (Short Subject),Czechoslovakia 1968,"Denis Sanders and Robert M. Fresco, Producers",YES
1969,DOCUMENTARY (Short Subject),Jenny Is a Good Thing,"Joan Horvath, Producer",NO
1969,FILM EDITING,"They Shoot Horses, Don't They?",Fredric Steinkamp,NO
1969,FILM EDITING,"Hello, Dolly!",William Reynolds,NO
1969,FILM EDITING,The Secret of Santa Vittoria,"William Lyon, Earle Herdan",NO
1969,FILM EDITING,Midnight Cowboy,Hugh A. Robertson,NO
1969,FILM EDITING,Z,Fran&Atilde;&sect;oise Bonnot,YES
1969,FOREIGN LANGUAGE FILM,My Night at Maud's,France,NO
1969,FOREIGN LANGUAGE FILM,The Battle of Neretva,Yugoslavia,NO
1969,FOREIGN LANGUAGE FILM,&Atilde;&hellip;dalen '31,Sweden,NO
1969,FOREIGN LANGUAGE FILM,Z,Algeria,YES
1969,FOREIGN LANGUAGE FILM,The Brothers Karamazov,Union of Soviet Socialist Republics,NO
1969,JEAN HERSHOLT HUMANITARIAN AWARD,George Jessel,,YES
1969,MUSIC (Original Score--for a motion picture [not a musical]),The Secret of Santa Vittoria,Ernest Gold,NO
1969,MUSIC (Original Score--for a motion picture [not a musical]),Butch Cassidy and the Sundance Kid,Burt Bacharach,YES
1969,MUSIC (Original Score--for a motion picture [not a musical]),Anne of the Thousand Days,Georges Delerue,NO
1969,MUSIC (Original Score--for a motion picture [not a musical]),The Reivers,John Williams,NO
1969,MUSIC (Original Score--for a motion picture [not a musical]),The Wild Bunch,Jerry Fielding,NO
1969,MUSIC (Score of a Musical Picture--original or adaptation),"Goodbye, Mr. Chips",Music and lyrics by Leslie Bricusse; adaptation score by John Williams,NO
1969,MUSIC (Score of a Musical Picture--original or adaptation),"Hello, Dolly!",Adaptation score by Lennie Hayton and Lionel Newman,YES
1969,MUSIC (Score of a Musical Picture--original or adaptation),Sweet Charity,Adaptation score by Cy Coleman,NO
1969,MUSIC (Score of a Musical Picture--original or adaptation),Paint Your Wagon,Adaptation score by Nelson Riddle,NO
1969,MUSIC (Score of a Musical Picture--original or adaptation),"They Shoot Horses, Don't They?",Adaptation score by John Green and Albert Woodbury,NO
1969,MUSIC (Song--Original for the Picture),"True Grit"" from True Grit""",Music by Elmer Bernstein; Lyrics by Don Black,NO
1969,MUSIC (Song--Original for the Picture),"Come Saturday Morning"" from The Sterile Cuckoo""",Music by Fred Karlin; Lyrics by Dory Previn,NO
1969,MUSIC (Song--Original for the Picture),"What Are You Doing the Rest of Your Life?"" from The Happy Ending""",Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,NO
1969,MUSIC (Song--Original for the Picture),"Jean"" from The Prime of Miss Jean Brodie""",Music and Lyrics by Rod McKuen,NO
1969,MUSIC (Song--Original for the Picture),"Raindrops Keep Fallin' On My Head"" from Butch Cassidy and the Sundance Kid""",Music by Burt Bacharach; Lyrics by Hal David,YES
1969,SHORT SUBJECT (Cartoon),It's Tough to Be a Bird,"Ward Kimball, Producer",YES
1969,SHORT SUBJECT (Cartoon),Walking,"Ryan Larkin, Producer",NO
1969,SHORT SUBJECT (Cartoon),Of Men and Demons,"John Hubley and Faith Hubley, Producers",NO
1969,SHORT SUBJECT (Live Action),The Magic Machines,"Joan Keller Stern, Producer",YES
1969,SHORT SUBJECT (Live Action),Blake,"Doug Jackson, Producer",NO
1969,SHORT SUBJECT (Live Action),People Soup,"Marc Merson, Producer",NO
1969,SOUND,Marooned,"Les Fresholtz, Arthur Piantadosi",NO
1969,SOUND,"Gaily, Gaily","Robert Martin, Clem Portman",NO
1969,SOUND,"Hello, Dolly!","Jack Solomon, Murray Spivack",YES
1969,SOUND,Anne of the Thousand Days,John Aldred,NO
1969,SOUND,Butch Cassidy and the Sundance Kid,"William Edmondson, David Dockendorf",NO
1969,SPECIAL VISUAL EFFECTS,Marooned,Robbie Robertson,YES
1969,SPECIAL VISUAL EFFECTS,"Krakatoa, East of Java","Eugene Lourie, Alex Weldon",NO
1969,WRITING (Screenplay--based on material from another medium),"They Shoot Horses, Don't They?","James Poe, Robert E. Thompson",NO
1969,WRITING (Screenplay--based on material from another medium),"Goodbye, Columbus",Arnold Schulman,NO
1969,WRITING (Screenplay--based on material from another medium),Midnight Cowboy,Waldo Salt,YES
1969,WRITING (Screenplay--based on material from another medium),Z,"Jorge Semprun, Costa-Gavras",NO
1969,WRITING (Screenplay--based on material from another medium),Anne of the Thousand Days,"Screenplay by John Hale, Bridget Boland; Adaptation by Richard Sokolove",NO
1969,WRITING (Story and Screenplay--based on material not previously published or produced),The Damned,"Story by Nicola Badalucco; Screenplay by Nicola Badalucco, Enrico Medioli, Luchino Visconti",NO
1969,WRITING (Story and Screenplay--based on material not previously published or produced),Easy Rider,"Peter Fonda, Dennis Hopper, Terry Southern",NO
1969,WRITING (Story and Screenplay--based on material not previously published or produced),Bob &amp; Carol &amp; Ted &amp; Alice,"Paul Mazursky, Larry Tucker",NO
1969,WRITING (Story and Screenplay--based on material not previously published or produced),The Wild Bunch,"Story by Walon Green, Roy N. Sickner; Screenplay by Walon Green, Sam Peckinpah",NO
1969,WRITING (Story and Screenplay--based on material not previously published or produced),Butch Cassidy and the Sundance Kid,William Goldman,YES
1970,ACTOR,Ryan O'Neal,"Love Story {Oliver Barrett IV""}""",NO
1970,ACTOR,James Earl Jones,"The Great White Hope {Jack Jefferson""}""",NO
1970,ACTOR,Jack Nicholson,"Five Easy Pieces {Robert Eroica Dupea""}""",NO
1970,ACTOR,Melvyn Douglas,"I Never Sang for My Father {Tom Garrison""}""",NO
1970,ACTOR,George C. Scott,"Patton {General George S. Patton, Jr.""}""",YES
1970,ACTOR IN A SUPPORTING ROLE,Richard Castellano,"Lovers and Other Strangers {Frank Vecchio""}""",NO
1970,ACTOR IN A SUPPORTING ROLE,John Mills,"Ryan's Daughter {Michael""}""",YES
1970,ACTOR IN A SUPPORTING ROLE,John Marley,"Love Story {Phil Cavilleri""}""",NO
1970,ACTOR IN A SUPPORTING ROLE,Chief Dan George,"Little Big Man {Old Lodge Skins""}""",NO
1970,ACTOR IN A SUPPORTING ROLE,Gene Hackman,"I Never Sang for My Father {Gene Garrison""}""",NO
1970,ACTRESS,Carrie Snodgress,"Diary of a Mad Housewife {Tina Balser""}""",NO
1970,ACTRESS,Sarah Miles,"Ryan's Daughter {Rosy Ryan""}""",NO
1970,ACTRESS,Ali MacGraw,"Love Story {Jenny Cavilleri""}""",NO
1970,ACTRESS,Jane Alexander,"The Great White Hope {Eleanor Bachman""}""",NO
1970,ACTRESS,Glenda Jackson,"Women in Love {Gudrun Brangwen""}""",YES
1970,ACTRESS IN A SUPPORTING ROLE,Maureen Stapleton,"Airport {Inez Guerrero""}""",NO
1970,ACTRESS IN A SUPPORTING ROLE,Sally Kellerman,"M*A*S*H {Major Margaret 'Hot Lips' Houlihan""}""",NO
1970,ACTRESS IN A SUPPORTING ROLE,Lee Grant,"The Landlord {Mrs. Enders""}""",NO
1970,ACTRESS IN A SUPPORTING ROLE,Helen Hayes,"Airport {Ada Quonsett""}""",YES
1970,ACTRESS IN A SUPPORTING ROLE,Karen Black,"Five Easy Pieces {Rayette Dipesto""}""",NO
1970,ART DIRECTION,Scrooge,"Art Direction: Terry Marsh, Bob Cartwright; Set Decoration: Pamela Cornell",NO
1970,ART DIRECTION,Patton,"Art Direction: Urie McCleary, Gil Parrondo; Set Decoration: Antonio Mateos, Pierre-Louis Thevenet",YES
1970,ART DIRECTION,The Molly Maguires,Art Direction: Tambi Larsen; Set Decoration: Darrell Silvera,NO
1970,ART DIRECTION,Tora! Tora! Tora!,"Art Direction: Jack Martin Smith, Yoshiro Muraki, Richard Day, Taizoh Kawashima; Set Decoration: Walter M. Scott, Norman Rockett, Carl Biddiscombe",NO
1970,ART DIRECTION,Airport,"Art Direction: Alexander Golitzen, E. Preston Ames; Set Decoration: Jack D. Moore, Mickey S. Michaels",NO
1970,BEST PICTURE,M*A*S*H,"Ingo Preminger, Producer",NO
1970,BEST PICTURE,Love Story,"Howard G. Minsky, Producer",NO
1970,BEST PICTURE,Five Easy Pieces,"Bob Rafelson and Richard Wechsler, Producers",NO
1970,BEST PICTURE,Airport,"Ross Hunter, Producer",NO
1970,BEST PICTURE,Patton,"Frank McCarthy, Producer",YES
1970,CINEMATOGRAPHY,Tora! Tora! Tora!,"Charles F. Wheeler, Osami Furuya, Sinsaku Himeda, Masamichi Satoh",NO
1970,CINEMATOGRAPHY,Airport,Ernest Laszlo,NO
1970,CINEMATOGRAPHY,Patton,Fred Koenekamp,NO
1970,CINEMATOGRAPHY,Women in Love,Billy Williams,NO
1970,CINEMATOGRAPHY,Ryan's Daughter,Freddie Young,YES
1970,COSTUME DESIGN,Airport,Edith Head,NO
1970,COSTUME DESIGN,Cromwell,Nino Novarese,YES
1970,COSTUME DESIGN,The Hawaiians,Bill Thomas,NO
1970,COSTUME DESIGN,Darling Lili,"Donald Brooks, Jack Bear",NO
1970,COSTUME DESIGN,Scrooge,Margaret Furse,NO
1970,DIRECTING,Patton,Franklin J. Schaffner,YES
1970,DIRECTING,Women in Love,Ken Russell,NO
1970,DIRECTING,Fellini Satyricon,Federico Fellini,NO
1970,DIRECTING,M*A*S*H,Robert Altman,NO
1970,DIRECTING,Love Story,Arthur Hiller,NO
1970,DOCUMENTARY (Feature),Chariots of the Gods,"Dr. Harald Reinl, Producer",NO
1970,DOCUMENTARY (Feature),Say Goodbye,"David H. Vowell, Producer",NO
1970,DOCUMENTARY (Feature),King: A Filmed Record...Montgomery to Memphis,"Ely Landau, Producer",NO
1970,DOCUMENTARY (Feature),Woodstock,"Bob Maurice, Producer",YES
1970,DOCUMENTARY (Feature),Jack Johnson,"Jim Jacobs, Producer",NO
1970,DOCUMENTARY (Short Subject),Interviews with My Lai Veterans,"Joseph Strick, Producer",YES
1970,DOCUMENTARY (Short Subject),Oisin,"Vivien Carey and Patrick Carey, Producers",NO
1970,DOCUMENTARY (Short Subject),The Gifts,"Robert McBride, Producer",NO
1970,DOCUMENTARY (Short Subject),A Long Way from Nowhere,"Bob Aller, Producer",NO
1970,DOCUMENTARY (Short Subject),Time Is Running Out,"Horst Dallmayr and Robert Menegoz, Producers",NO
1970,FILM EDITING,Patton,Hugh S. Fowler,YES
1970,FILM EDITING,Woodstock,Thelma Schoonmaker,NO
1970,FILM EDITING,Airport,Stuart Gilmore,NO
1970,FILM EDITING,M*A*S*H,Danford B. Greene,NO
1970,FILM EDITING,Tora! Tora! Tora!,"James E. Newcom, Pembroke J. Herring, Inoue Chikaya",NO
1970,FOREIGN LANGUAGE FILM,Hoa-Binh,France,NO
1970,FOREIGN LANGUAGE FILM,Investigation of a Citizen Above Suspicion,Italy,YES
1970,FOREIGN LANGUAGE FILM,Tristana,Spain,NO
1970,FOREIGN LANGUAGE FILM,First Love,Switzerland,NO
1970,FOREIGN LANGUAGE FILM,Paix Sur Les Champs,Belgium,NO
1970,IRVING G. THALBERG MEMORIAL AWARD,Ingmar Bergman,,YES
1970,JEAN HERSHOLT HUMANITARIAN AWARD,Frank Sinatra,,YES
1970,MUSIC (Original Score),Sunflower,Henry Mancini,NO
1970,MUSIC (Original Score),Love Story,Francis Lai,YES
1970,MUSIC (Original Score),Airport,Alfred Newman,NO
1970,MUSIC (Original Score),Cromwell,Frank Cordell,NO
1970,MUSIC (Original Score),Patton,Jerry Goldsmith,NO
1970,MUSIC (Original Song Score),Darling Lili,Music by Henry Mancini; lyrics by Johnny Mercer,NO
1970,MUSIC (Original Song Score),A Boy Named Charlie Brown,"Music by Rod McKuen and John Scott Trotter; lyrics by Rod McKuen, Bill Melendez and Al Shean; adaptation score by Vince Guaraldi",NO
1970,MUSIC (Original Song Score),Let It Be,Music and lyrics by The Beatles,YES
1970,MUSIC (Original Song Score),The Baby Maker,Music by Fred Karlin; lyrics by Tylwyth Kymry,NO
1970,MUSIC (Original Song Score),Scrooge,Music and lyrics by Leslie Bricusse; adaptation score by Ian Fraser and Herbert W. Spencer,NO
1970,MUSIC (Song--Original for the Picture),"For All We Know"" from Lovers and Other Strangers""",Music by Fred Karlin; Lyrics by Robb Royer (aka Robb Wilson) and James Griffin (aka Arthur James),YES
1970,MUSIC (Song--Original for the Picture),"Pieces of Dreams"" from Pieces of Dreams""",Music by Michel Legrand; Lyrics by Alan Bergman and Marilyn Bergman,NO
1970,MUSIC (Song--Original for the Picture),"Till Love Touches Your Life"" from Madron""",Music by Riz Ortolani; Lyrics by Arthur Hamilton,NO
1970,MUSIC (Song--Original for the Picture),"Whistling Away the Dark"" from Darling Lili""",Music by Henry Mancini; Lyrics by Johnny Mercer,NO
1970,MUSIC (Song--Original for the Picture),"Thank You Very Much"" from Scrooge""",Music and Lyrics by Leslie Bricusse,NO
1970,SHORT SUBJECT (Cartoon),The Further Adventures of Uncle Sam: Part Two,"Robert Mitchell and Dale Case, Producers",NO
1970,SHORT SUBJECT (Cartoon),The Shepherd,"Cameron Guess, Producer",NO
1970,SHORT SUBJECT (Cartoon),Is It Always Right To Be Right?,"Nick Bosustow, Producer",YES
1970,SHORT SUBJECT (Live Action),Shut Up...I'm Crying,"Robert Siegler, Producer",NO
1970,SHORT SUBJECT (Live Action),The Resurrection of Broncho Billy,"John Longenecker, Producer",YES
1970,SHORT SUBJECT (Live Action),Sticky My Fingers...Fleet My Feet,"John Hancock, Producer",NO
1970,SOUND,Airport,"Ronald Pierce, David Moriarty",NO
1970,SOUND,Patton,"Douglas Williams, Don Bassman",YES
1970,SOUND,Woodstock,"Dan Wallin, Larry Johnson",NO
1970,SOUND,Tora! Tora! Tora!,"Murray Spivack, Herman Lewis",NO
1970,SOUND,Ryan's Daughter,"Gordon K. McCallum, John Bramall",NO
1970,SPECIAL VISUAL EFFECTS,Patton,Alex Weldon,NO
1970,SPECIAL VISUAL EFFECTS,Tora! Tora! Tora!,"A. D. Flowers, L. B. Abbott",YES
1970,WRITING (Screenplay--based on material from another medium),Airport,George Seaton,NO
1970,WRITING (Screenplay--based on material from another medium),I Never Sang for My Father,Robert Anderson,NO
1970,WRITING (Screenplay--based on material from another medium),Lovers and Other Strangers,"Renee Taylor, Joseph Bologna, David Zelag Goodman",NO
1970,WRITING (Screenplay--based on material from another medium),M*A*S*H,"Ring Lardner, Jr.",YES
1970,WRITING (Screenplay--based on material from another medium),Women in Love,Larry Kramer,NO
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Patton,"Francis Ford Coppola, Edmund H. North",YES
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Joe,Norman Wexler,NO
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),My Night at Maud's,Eric Rohmer,NO
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Five Easy Pieces,"Story by Bob Rafelson, Adrien Joyce; Screenplay by Adrien Joyce",NO
1970,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Love Story,Erich Segal,NO
1971,ACTOR,Topol,"Fiddler on the Roof {Tevye""}""",NO
1971,ACTOR,George C. Scott,"The Hospital {Dr. Herbert Bock""}""",NO
1971,ACTOR,Gene Hackman,"The French Connection {Jimmy 'Popeye' Doyle""}""",YES
1971,ACTOR,Peter Finch,"Sunday Bloody Sunday {Dr. Daniel Hirsh""}""",NO
1971,ACTOR,Walter Matthau,"Kotch {Joseph P. Kotcher""}""",NO
1971,ACTOR IN A SUPPORTING ROLE,Roy Scheider,"The French Connection {Buddy Russo""}""",NO
1971,ACTOR IN A SUPPORTING ROLE,Leonard Frey,"Fiddler on the Roof {Motel""}""",NO
1971,ACTOR IN A SUPPORTING ROLE,Ben Johnson,"The Last Picture Show {Sam the Lion""}""",YES
1971,ACTOR IN A SUPPORTING ROLE,Richard Jaeckel,"Sometimes a Great Notion {Joe Ben Stamper""}""",NO
1971,ACTOR IN A SUPPORTING ROLE,Jeff Bridges,"The Last Picture Show {Duane Jackson""}""",NO
1971,ACTRESS,Vanessa Redgrave,"Mary, Queen of Scots {Mary, Queen of Scots""}""",NO
1971,ACTRESS,Glenda Jackson,"Sunday Bloody Sunday {Alex Greville""}""",NO
1971,ACTRESS,Janet Suzman,"Nicholas and Alexandra {Alexandra""}""",NO
1971,ACTRESS,Julie Christie,"McCabe &amp; Mrs. Miller {Mrs. Constance Miller""}""",NO
1971,ACTRESS,Jane Fonda,"Klute {Bree Daniel""}""",YES
1971,ACTRESS IN A SUPPORTING ROLE,Ellen Burstyn,"The Last Picture Show {Lois Farrow""}""",NO
1971,ACTRESS IN A SUPPORTING ROLE,Barbara Harris,"Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me? {Allison""}""",NO
1971,ACTRESS IN A SUPPORTING ROLE,Cloris Leachman,"The Last Picture Show {Ruth Popper""}""",YES
1971,ACTRESS IN A SUPPORTING ROLE,Ann-Margret,"Carnal Knowledge {Bobbie""}""",NO
1971,ACTRESS IN A SUPPORTING ROLE,Margaret Leighton,"The Go-Between {Mrs. Maudsley""}""",NO
1971,ART DIRECTION,Fiddler on the Roof,"Art Direction: Robert Boyle, Michael Stringer; Set Decoration: Peter Lamont",NO
1971,ART DIRECTION,The Andromeda Strain,"Art Direction: Boris Leven, William Tuntke; Set Decoration: Ruby Levitt",NO
1971,ART DIRECTION,Nicholas and Alexandra,"Art Direction: John Box, Ernest Archer, Jack Maxsted, Gil Parrondo; Set Decoration: Vernon Dixon",YES
1971,ART DIRECTION,"Mary, Queen of Scots","Art Direction: Terence Marsh, Robert Cartwright; Set Decoration: Peter Howitt",NO
1971,ART DIRECTION,Bedknobs and Broomsticks,"Art Direction: John B. Mansbridge, Peter Ellenshaw; Set Decoration: Emile Kuri, Hal Gausman",NO
1971,BEST PICTURE,Nicholas and Alexandra,"Sam Spiegel, Producer",NO
1971,BEST PICTURE,The Last Picture Show,"Stephen J. Friedman, Producer",NO
1971,BEST PICTURE,A Clockwork Orange,"Stanley Kubrick, Producer",NO
1971,BEST PICTURE,The French Connection,"Philip D'Antoni, Producer",YES
1971,BEST PICTURE,Fiddler on the Roof,"Norman Jewison, Producer",NO
1971,CINEMATOGRAPHY,Fiddler on the Roof,Oswald Morris,YES
1971,CINEMATOGRAPHY,The French Connection,Owen Roizman,NO
1971,CINEMATOGRAPHY,Nicholas and Alexandra,Freddie Young,NO
1971,CINEMATOGRAPHY,The Last Picture Show,Robert Surtees,NO
1971,CINEMATOGRAPHY,Summer of '42,Robert Surtees,NO
1971,COSTUME DESIGN,Death in Venice,Piero Tosi,NO
1971,COSTUME DESIGN,"Mary, Queen of Scots",Margaret Furse,NO
1971,COSTUME DESIGN,Nicholas and Alexandra,"Yvonne Blake, Antonio Castillo",YES
1971,COSTUME DESIGN,Bedknobs and Broomsticks,Bill Thomas,NO
1971,COSTUME DESIGN,What's the Matter with Helen?,Morton Haack,NO
1971,DIRECTING,The Last Picture Show,Peter Bogdanovich,NO
1971,DIRECTING,Fiddler on the Roof,Norman Jewison,NO
1971,DIRECTING,The French Connection,William Friedkin,YES
1971,DIRECTING,A Clockwork Orange,Stanley Kubrick,NO
1971,DIRECTING,Sunday Bloody Sunday,John Schlesinger,NO
1971,DOCUMENTARY (Feature),The Hellstrom Chronicle,"Walon Green, Producer",YES
1971,DOCUMENTARY (Feature),The Sorrow and the Pity,"Marcel Ophuls, Producer",NO
1971,DOCUMENTARY (Feature),Alaska Wilderness Lake,"Alan Landsburg, Producer",NO
1971,DOCUMENTARY (Feature),On Any Sunday,"Bruce Brown, Producer",NO
1971,DOCUMENTARY (Feature),The RA Expeditions,"Lennart Ehrenborg and Thor Heyerdahl, Producers",NO
1971,DOCUMENTARY (Short Subject),Somebody Waiting,"Hal Riney, Dick Snider and Sherwood Omens, Producers",NO
1971,DOCUMENTARY (Short Subject),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers",YES
1971,DOCUMENTARY (Short Subject),The Numbers Start with the River,"Donald Wrye, Producer",NO
1971,DOCUMENTARY (Short Subject),Adventures in Perception,"Han van Gelder, Producer",NO
1971,DOCUMENTARY (Short Subject),Art Is...,"Julian Krainin and DeWitt L. Sage, Jr., Producers",NO
1971,FILM EDITING,Kotch,Ralph E. Winters,NO
1971,FILM EDITING,The French Connection,Jerry Greenberg,YES
1971,FILM EDITING,The Andromeda Strain,"Stuart Gilmore, John W. Holmes",NO
1971,FILM EDITING,A Clockwork Orange,Bill Butler,NO
1971,FILM EDITING,Summer of '42,Folmar Blangsted,NO
1971,FOREIGN LANGUAGE FILM,Dodes'ka-Den,Japan,NO
1971,FOREIGN LANGUAGE FILM,The Emigrants,Sweden,NO
1971,FOREIGN LANGUAGE FILM,Tchaikovsky,Union of Soviet Socialist Republics,NO
1971,FOREIGN LANGUAGE FILM,The Policeman,Israel,NO
1971,FOREIGN LANGUAGE FILM,The Garden of the Finzi Continis,Italy,YES
1971,MUSIC (Original Dramatic Score),"Mary, Queen of Scots",John Barry,NO
1971,MUSIC (Original Dramatic Score),Nicholas and Alexandra,Richard Rodney Bennett,NO
1971,MUSIC (Original Dramatic Score),Shaft,Isaac Hayes,NO
1971,MUSIC (Original Dramatic Score),Straw Dogs,Jerry Fielding,NO
1971,MUSIC (Original Dramatic Score),Summer of '42,Michel Legrand,YES
1971,MUSIC (Scoring: Adaptation and Original Song Score),Bedknobs and Broomsticks,Song Score by Richard M. Sherman and Robert B. Sherman; Adaptation Score by Irwin Kostal,NO
1971,MUSIC (Scoring: Adaptation and Original Song Score),Tchaikovsky,Adaptation Score by Dimitri Tiomkin,NO
1971,MUSIC (Scoring: Adaptation and Original Song Score),The Boy Friend,Adaptation Score by Peter Maxwell Davies and Peter Greenwell,NO
1971,MUSIC (Scoring: Adaptation and Original Song Score),Willy Wonka and the Chocolate Factory,Song Score by Leslie Bricusse and Anthony Newley; Adaptation Score by Walter Scharf,NO
1971,MUSIC (Scoring: Adaptation and Original Song Score),Fiddler on the Roof,Adaptation Score by John Williams,YES
1971,MUSIC (Song--Original for the Picture),"Bless the Beasts &amp; Children"" from Bless the Beasts &amp; Children""","Music and Lyrics by Barry DeVorzon and Perry Botkin, Jr.",NO
1971,MUSIC (Song--Original for the Picture),"The Age of Not Believing"" from Bedknobs and Broomsticks""",Music and Lyrics by Richard M. Sherman and Robert B. Sherman,NO
1971,MUSIC (Song--Original for the Picture),"All His Children"" from Sometimes a Great Notion""",Music by Henry Mancini; Lyrics by Alan Bergman and Marilyn Bergman,NO
1971,MUSIC (Song--Original for the Picture),"Life Is What You Make It"" from Kotch""",Music by Marvin Hamlisch; Lyrics by Johnny Mercer,NO
1971,MUSIC (Song--Original for the Picture),"Theme from Shaft"" from Shaft""",Music and Lyrics by Isaac Hayes,YES
1971,SHORT SUBJECT (Animated),The Crunch Bird,"Ted Petok, Producer",YES
1971,SHORT SUBJECT (Animated),Evolution,"Michael Mills, Producer",NO
1971,SHORT SUBJECT (Animated),The Selfish Giant,"Peter Sander and Murray Shostak, Producers",NO
1971,SHORT SUBJECT (Live Action),Good Morning,"Denny Evans and Ken Greenwald, Producers",NO
1971,SHORT SUBJECT (Live Action),Sentinels of Silence,"Manuel Arango and Robert Amram, Producers",YES
1971,SHORT SUBJECT (Live Action),The Rehearsal,"Stephen F. Verona, Producer",NO
1971,SOUND,Kotch,"Richard Portman, Jack Solomon",NO
1971,SOUND,"Mary, Queen of Scots","Bob Jones, John Aldred",NO
1971,SOUND,The French Connection,"Theodore Soderberg, Christopher Newman",NO
1971,SOUND,Diamonds Are Forever,"Gordon K. McCallum, John Mitchell, Alfred J. Overton",NO
1971,SOUND,Fiddler on the Roof,"Gordon K. McCallum, David Hildyard",YES
1971,SPECIAL VISUAL EFFECTS,Bedknobs and Broomsticks,"Alan Maley, Eustace Lycett, Danny Lee",YES
1971,SPECIAL VISUAL EFFECTS,When Dinosaurs Ruled the Earth,"Jim Danforth, Roger Dicken",NO
1971,WRITING (Screenplay--based on material from another medium),The Last Picture Show,"Larry McMurtry, Peter Bogdanovich",NO
1971,WRITING (Screenplay--based on material from another medium),A Clockwork Orange,Stanley Kubrick,NO
1971,WRITING (Screenplay--based on material from another medium),The Conformist,Bernardo Bertolucci,NO
1971,WRITING (Screenplay--based on material from another medium),The Garden of the Finzi Continis,"Ugo Pirro, Vittorio Bonicelli",NO
1971,WRITING (Screenplay--based on material from another medium),The French Connection,Ernest Tidyman,YES
1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),Sunday Bloody Sunday,Penelope Gilliatt,NO
1971,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Hospital,Paddy Chayefsky,YES
