Year,Category,Nominee,Additional Info,Won?
1930/31,DIRECTING,A Free Soul,Clarence Brown,NO
1930/31,DIRECTING,Skippy,Norman Taurog,YES
1930/31,OUTSTANDING PRODUCTION,Cimarron,RKO Radio,YES
1930/31,OUTSTANDING PRODUCTION,The Front Page,The Caddo Company,NO
1930/31,OUTSTANDING PRODUCTION,Skippy,Paramount Publix,NO
1930/31,OUTSTANDING PRODUCTION,East Lynne,Fox,NO
1930/31,OUTSTANDING PRODUCTION,Trader Horn,Metro-Goldwyn-Mayer,NO
1930/31,SOUND RECORDING,Paramount Publix Studio Sound Department,,YES
1930/31,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,NO
1930/31,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,NO
1930/31,SOUND RECORDING,RKO Radio Studio Sound Department,,NO
1930/31,WRITING (Adaptation),Cimarron,Howard Estabrook,YES
1930/31,WRITING (Adaptation),Holiday,Horace Jackson,NO
1930/31,WRITING (Adaptation),Little Caesar,"Francis Faragoh, Robert N. Lee",NO
1930/31,WRITING (Adaptation),The Criminal Code,"Seton I. Miller, Fred Niblo, Jr.",NO
1930/31,WRITING (Adaptation),Skippy,"Joseph L. Mankiewicz, Sam Mintz",NO
1930/31,WRITING (Original Story),The Public Enemy,"John Bright, Kubec Glasmon",NO
1930/31,WRITING (Original Story),The Doorway to Hell,Rowland Brown,NO
1930/31,WRITING (Original Story),Laughter,"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",NO
1930/31,WRITING (Original Story),The Dawn Patrol,John Monk Saunders,YES
1930/31,WRITING (Original Story),Smart Money,"Lucien Hubbard, Joseph Jackson",NO
1931/32,ACTOR,Fredric March,"Dr. Jekyll and Mr. Hyde {Dr. Henry Jekyll/Mr. Hyde""}""",YES
1931/32,ACTOR,Wallace Beery,"The Champ {Champ""}""",YES
1931/32,ACTOR,Alfred Lunt,"The Guardsman {The Actor""}""",NO
1931/32,ACTRESS,Lynn Fontanne,"The Guardsman {The Actress""}""",NO
1931/32,ACTRESS,Helen Hayes,"The Sin of Madelon Claudet {Madelon""}""",YES
1931/32,ACTRESS,Marie Dressler,"Emma {Emma""}""",NO
1931/32,ART DIRECTION,Transatlantic,Gordon Wiles,YES
1931/32,ART DIRECTION,A Nous la Libert&Atilde;&copy;,Lazare Meerson,NO
1931/32,ART DIRECTION,Arrowsmith,Richard Day,NO
1931/32,CINEMATOGRAPHY,Arrowsmith,Ray June,NO
1931/32,CINEMATOGRAPHY,Dr. Jekyll and Mr. Hyde,Karl Struss,NO
1931/32,CINEMATOGRAPHY,Shanghai Express,Lee Garmes,YES
1931/32,DIRECTING,Bad Girl,Frank Borzage,YES
1931/32,DIRECTING,The Champ,King Vidor,NO
1931/32,DIRECTING,Shanghai Express,Josef Von Sternberg,NO
1931/32,OUTSTANDING PRODUCTION,The Smiling Lieutenant,Paramount Publix,NO
1931/32,OUTSTANDING PRODUCTION,Shanghai Express,Paramount Publix,NO
1931/32,OUTSTANDING PRODUCTION,Grand Hotel,Metro-Goldwyn-Mayer,YES
1931/32,OUTSTANDING PRODUCTION,Arrowsmith,Samuel Goldwyn Productions,NO
1931/32,OUTSTANDING PRODUCTION,One Hour with You,Paramount Publix,NO
1931/32,OUTSTANDING PRODUCTION,Bad Girl,Fox,NO
1931/32,OUTSTANDING PRODUCTION,Five Star Final,First National,NO
1931/32,OUTSTANDING PRODUCTION,The Champ,Metro-Goldwyn-Mayer,NO
1931/32,SHORT SUBJECT (Cartoon),Mickey's Orphans,"Walt Disney, Producer",NO
1931/32,SHORT SUBJECT (Cartoon),It's Got Me Again,"Leon Schlesinger, Producer",NO
1931/32,SHORT SUBJECT (Cartoon),Flowers and Trees,"Walt Disney, Producer",YES
1931/32,SHORT SUBJECT (Comedy),The Music Box,"Hal Roach, Producer",YES
1931/32,SHORT SUBJECT (Comedy),Stout Hearts and Willing Hands,RKO Radio,NO
1931/32,SHORT SUBJECT (Comedy),The Loud Mouth,"Mack Sennett, Producer",NO
1931/32,SHORT SUBJECT (Comedy),Scratch-As-Catch-Can,RKO Radio,NO
1931/32,SHORT SUBJECT (Novelty),Wrestling Swordfish,"Mack Sennett, Producer",YES
1931/32,SHORT SUBJECT (Novelty),Screen Souvenirs,Paramount Publix,NO
1931/32,SHORT SUBJECT (Novelty),Swing High,Metro-Goldwyn-Mayer,NO
1931/32,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,NO
1931/32,SOUND RECORDING,RKO Radio Studio Sound Department,,NO
1931/32,SOUND RECORDING,Warner Bros.-First National Studio Sound Department,,NO
1931/32,SOUND RECORDING,Paramount Publix Studio Sound Department,,YES
1931/32,WRITING (Adaptation),Arrowsmith,Sidney Howard,NO
1931/32,WRITING (Adaptation),Bad Girl,Edwin Burke,YES
1931/32,WRITING (Adaptation),Dr. Jekyll and Mr. Hyde,"Percy Heath, Samuel Hoffenstein",NO
1931/32,WRITING (Original Story),What Price Hollywood?,"Adela Rogers St. Johns, Jane Murfin",NO
1931/32,WRITING (Original Story),Lady and Gent,"Grover Jones, William Slavens McNutt",NO
1931/32,WRITING (Original Story),The Champ,Frances Marion,YES
1931/32,WRITING (Original Story),The Star Witness,Lucien Hubbard,NO
1932/33,ACTOR,Charles Laughton,"The Private Life of Henry VIII {Henry VIII""}""",YES
1932/33,ACTOR,Paul Muni,"I Am a Fugitive from a Chain Gang {James Allen""} [came in 2nd]""",NO
1932/33,ACTOR,Leslie Howard,"Berkeley Square {Peter Standish""} [came in 3rd]""",NO
1932/33,ACTRESS,Diana Wynyard,"Cavalcade {Jane Marryot""} [came in 3rd]""",NO
1932/33,ACTRESS,Katharine Hepburn,"Morning Glory {Eva Lovelace""}""",YES
1932/33,ACTRESS,May Robson,"Lady for a Day {Apple Annie""} [came in 2nd]""",NO
1932/33,ART DIRECTION,When Ladies Meet,Cedric Gibbons [came in 3rd],NO
1932/33,ART DIRECTION,A Farewell to Arms,"Hans Dreier, Roland Anderson [came in 2nd]",NO
1932/33,ART DIRECTION,Cavalcade,William S. Darling,YES
1932/33,ASSISTANT DIRECTOR,Scott Beal (Universal),,YES
1932/33,ASSISTANT DIRECTOR,Benjamin Silvey (United Artists),,NO
1932/33,ASSISTANT DIRECTOR,Bunny Dull (Metro-Goldwyn-Mayer),,NO
1932/33,ASSISTANT DIRECTOR,Dewey Starkey (RKO Radio),,YES
1932/33,ASSISTANT DIRECTOR,Frank X. Shaw (Warner Bros.),,NO
1932/33,ASSISTANT DIRECTOR,Percy Ikerd (Fox),,NO
1932/33,ASSISTANT DIRECTOR,Charles Dorian (Metro-Goldwyn-Mayer),,YES
1932/33,ASSISTANT DIRECTOR,John S. Waters (Metro-Goldwyn-Mayer),,NO
1932/33,ASSISTANT DIRECTOR,William Tummel (Fox),,YES
1932/33,ASSISTANT DIRECTOR,W. J. Reiter (Universal),,NO
1932/33,ASSISTANT DIRECTOR,Al Alborn (Warner Bros.),,NO
1932/33,ASSISTANT DIRECTOR,Gordon Hollingshead (Warner Bros.),,YES
1932/33,ASSISTANT DIRECTOR,Sidney S. Brod (Paramount),,NO
1932/33,ASSISTANT DIRECTOR,Fred Fox (United Artists),,YES
1932/33,ASSISTANT DIRECTOR,Joe McDonough (Universal),,NO
1932/33,ASSISTANT DIRECTOR,Arthur Jacobson (Paramount),,NO
1932/33,ASSISTANT DIRECTOR,Eddie Killey (RKO Radio),,NO
1932/33,ASSISTANT DIRECTOR,Charles Barton (Paramount),,YES
1932/33,CINEMATOGRAPHY,A Farewell to Arms,"Charles Bryant Lang, Jr.",YES
1932/33,CINEMATOGRAPHY,Reunion in Vienna,George J. Folsey [came in 2nd],NO
1932/33,CINEMATOGRAPHY,The Sign of the Cross,Karl Struss [came in 3rd],NO
1932/33,DIRECTING,Little Women,George Cukor [came in 3rd],NO
1932/33,DIRECTING,Cavalcade,Frank Lloyd,YES
1932/33,DIRECTING,Lady for a Day,Frank Capra [came in 2nd],NO
1932/33,OUTSTANDING PRODUCTION,42nd Street,Warner Bros.,NO
1932/33,OUTSTANDING PRODUCTION,Little Women,RKO Radio [came in 3rd],NO
1932/33,OUTSTANDING PRODUCTION,I Am a Fugitive from a Chain Gang,Warner Bros.,NO
1932/33,OUTSTANDING PRODUCTION,State Fair,Fox,NO
1932/33,OUTSTANDING PRODUCTION,Smilin' Through,Metro-Goldwyn-Mayer,NO
1932/33,OUTSTANDING PRODUCTION,The Private Life of Henry VIII,London Films,NO
1932/33,OUTSTANDING PRODUCTION,A Farewell to Arms,Paramount [came in 2nd],NO
1932/33,OUTSTANDING PRODUCTION,She Done Him Wrong,Paramount,NO
1932/33,OUTSTANDING PRODUCTION,Lady for a Day,Columbia,NO
1932/33,OUTSTANDING PRODUCTION,Cavalcade,Fox,YES
1932/33,SHORT SUBJECT (Cartoon),The Merry Old Soul,"Walter Lantz, Producer [came in 3rd]",NO
